cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,1,9216,4096,8,0,15.2874,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.94,2470.74,0.0
256,2,9216,4096,8,0,15.6182,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.67,2419.86,0.0
256,4,9216,4096,8,0,15.5108,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.47,2439.52,0.0
256,8,9216,4096,8,0,15.6617,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,38.56,2421.77,0.0
256,16,9216,4096,8,0,14.3736,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,84.04,2651.33,0.0
256,32,9216,4096,7,0,15.5721,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,155.14,2470.42,0.0
256,64,9216,4096,18,0,15.8652,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,304.56,2470.22,0.0
256,128,9216,4096,18,0,24.2965,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,397.74,1672.35,0.0
256,256,9216,4096,18,0,31.8855,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,606.15,1364.76,0.0
256,512,9216,4096,18,0,47.4923,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,813.92,1037.71,0.0
256,1024,9216,4096,2,0,77.3153,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,999.92,786.62,0.0
256,2048,9216,4096,0,0,126.3825,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1223.42,663.75,0.0
256,4096,9216,4096,0,0,220.1706,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1404.54,590.56,0.0
256,8192,9216,4096,0,0,400.8616,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1542.86,554.55,0.0
256,16384,9216,4096,0,0,800.8525,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1544.54,508.02,0.0
256,32768,9216,4096,0,0,1653.9011,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1495.8,469.16,0.0
256,1,4096,8192,8,0,26.8493,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.5,1250.34,0.0
256,2,4096,8192,8,0,26.8722,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,4.99,1249.89,0.0
256,4,4096,8192,8,0,27.0942,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,9.91,1240.85,0.0
256,8,4096,8192,8,0,27.4449,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,19.56,1227.39,0.0
256,16,4096,8192,8,0,24.3021,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,44.18,1391.51,0.0
256,32,4096,8192,8,0,23.9347,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,89.72,1423.82,0.0
256,64,4096,8192,8,0,23.5457,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,182.41,1469.61,0.0
256,128,4096,8192,7,0,25.4852,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,337.06,1398.91,0.0
256,256,4096,8192,18,0,26.2984,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,653.27,1435.4,0.0
256,512,4096,8192,18,0,41.3652,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,830.64,1013.97,0.0
256,1024,4096,8192,0,0,59.137,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1162.04,851.1,0.0
256,2048,4096,8192,0,0,100.2863,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1370.47,669.17,0.0
256,4096,4096,8192,0,0,194.5669,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1412.77,517.37,0.0
256,8192,4096,8192,0,0,356.4042,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1542.51,470.74,0.0
256,16384,4096,8192,0,0,691.0916,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1590.98,436.98,0.0
256,32768,4096,8192,0,0,1413.9724,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,1555.21,403.42,0.0
256,1,4608,4096,8,0,14.53,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,2.6,1299.91,0.0
256,2,4608,4096,8,0,14.4825,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.21,1305.09,0.0
256,4,4608,4096,8,0,14.6915,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.28,1288.34,0.0
256,8,4608,4096,8,0,14.8617,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.32,1277.17,0.0
256,16,4608,4096,8,0,13.3147,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,45.36,1433.56,0.0
256,32,4608,4096,8,0,13.2381,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,91.25,1457.94,0.0
256,64,4608,4096,7,0,14.4288,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,167.44,1367.15,0.0
256,128,4608,4096,18,0,14.8087,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,326.28,1389.61,0.0
